V1.V,P(D1)/-P(V1) when R1.R is 95,P(D1)/-P(V1) when R1.R is 100,P(D1)/-P(V1) when R1.R is 105,I(D1.nA) when R1.R is 95,I(D1.nA) when R1.R is 100,I(D1.nA) when R1.R is 105
0,,,,0,0,0
0.01,0.999985801,0.999985053,0.999984306,1.49E-09,1.49E-09,1.49E-09
0.02,0.99998527,0.999984494,0.999983719,3.10E-09,3.10E-09,3.10E-09
0.03,0.999984713,0.999983908,0.999983103,4.83E-09,4.83E-09,4.83E-09
0.04,0.999984127,0.999983292,0.999982457,6.68E-09,6.68E-09,6.68E-09
0.05,0.999983513,0.999982645,0.999981778,8.68E-09,8.68E-09,8.68E-09
0.06,0.999982867,0.999981966,0.999981064,1.08E-08,1.08E-08,1.08E-08
0.07,0.999982189,0.999981251,0.999980314,1.31E-08,1.31E-08,1.31E-08
0.08,0.999981475,0.9999805,0.999979526,1.56E-08,1.56E-08,1.56E-08
0.09,0.999980725,0.999979711,0.999978696,1.83E-08,1.83E-08,1.83E-08
0.1,0.999979936,0.99997888,0.999977824,2.11E-08,2.11E-08,2.11E-08
0.11,0.999979106,0.999978007,0.999976907,2.42E-08,2.42E-08,2.42E-08
0.12,0.999978233,0.999977087,0.999975941,2.75E-08,2.75E-08,2.75E-08
0.13,0.999977313,0.999976119,0.999974925,3.10E-08,3.10E-08,3.10E-08
0.14,0.999976345,0.9999751,0.999973855,3.49E-08,3.49E-08,3.49E-08
0.15,0.999975325,0.999974027,0.999972728,3.90E-08,3.90E-08,3.90E-08
0.16,0.999974251,0.999972896,0.999971541,4.34E-08,4.34E-08,4.34E-08
0.17,0.999973119,0.999971705,0.99997029,4.81E-08,4.81E-08,4.81E-08
0.18,0.999971927,0.999970449,0.999968972,5.32E-08,5.32E-08,5.32E-08
0.19,0.999970669,0.999969126,0.999967582,5.87E-08,5.87E-08,5.87E-08
0.2,0.999969343,0.99996773,0.999966117,6.45E-08,6.45E-08,6.45E-08
0.21,0.999967945,0.999966258,0.999964571,7.09E-08,7.09E-08,7.09E-08
0.22,0.99996647,0.999964705,0.999962941,7.76E-08,7.76E-08,7.76E-08
0.23,0.999964914,0.999963067,0.999961221,8.49E-08,8.49E-08,8.49E-08
0.24,0.999963271,0.999961338,0.999959405,9.28E-08,9.28E-08,9.28E-08
0.25,0.999961537,0.999959513,0.999957489,1.01E-07,1.01E-07,1.01E-07
0.26,0.999959707,0.999957586,0.999955466,1.10E-07,1.10E-07,1.10E-07
0.27,0.999957774,0.999955551,0.999953329,1.20E-07,1.20E-07,1.20E-07
0.28,0.999955732,0.999953402,0.999951072,1.30E-07,1.30E-07,1.30E-07
0.29,0.999953574,0.999951131,0.999948688,1.42E-07,1.42E-07,1.42E-07
0.3,0.999951295,0.999948732,0.999946169,1.54E-07,1.54E-07,1.54E-07
0.31,0.999948886,0.999946196,0.999943506,1.67E-07,1.67E-07,1.67E-07
0.32,0.999946339,0.999943515,0.999940692,1.81E-07,1.81E-07,1.81E-07
0.33,0.999943647,0.999940681,0.999937716,1.96E-07,1.96E-07,1.96E-07
0.34,0.999940799,0.999937684,0.999934569,2.12E-07,2.12E-07,2.12E-07
0.35,0.999937788,0.999934514,0.99993124,2.29E-07,2.29E-07,2.29E-07
0.36,0.999934602,0.999931161,0.999927719,2.48E-07,2.48E-07,2.48E-07
0.37,0.999931231,0.999927612,0.999923994,2.68E-07,2.68E-07,2.68E-07
0.38,0.999927664,0.999923858,0.999920051,2.89E-07,2.89E-07,2.89E-07
0.39,0.999923888,0.999919883,0.999915878,3.12E-07,3.12E-07,3.12E-07
0.4,0.999919891,0.999915676,0.999911461,3.37E-07,3.37E-07,3.37E-07
0.41,0.999915659,0.999911222,0.999906784,3.64E-07,3.64E-07,3.64E-07
0.42,0.999911178,0.999906504,0.999901831,3.93E-07,3.93E-07,3.93E-07
0.43,0.999906431,0.999901508,0.999896585,4.24E-07,4.24E-07,4.24E-07
0.44,0.999901404,0.999896216,0.999891029,4.57E-07,4.57E-07,4.57E-07
0.45,0.999896077,0.999890609,0.999885142,4.92E-07,4.92E-07,4.92E-07
0.46,0.999890432,0.999884668,0.999878903,5.31E-07,5.31E-07,5.31E-07
0.47,0.99988445,0.999878371,0.999872292,5.72E-07,5.72E-07,5.72E-07
0.48,0.999878109,0.999871697,0.999865285,6.16E-07,6.16E-07,6.16E-07
0.49,0.999871388,0.999864622,0.999857857,6.63E-07,6.63E-07,6.63E-07
0.5,0.999864261,0.999857121,0.999849981,7.14E-07,7.14E-07,7.14E-07
0.51,0.999856704,0.999849166,0.999841629,7.69E-07,7.69E-07,7.69E-07
0.52,0.999848689,0.99984073,0.999832772,8.28E-07,8.28E-07,8.28E-07
0.53,0.999840188,0.999831783,0.999823378,8.92E-07,8.92E-07,8.92E-07
0.54,0.99983117,0.999822291,0.999813412,9.60E-07,9.60E-07,9.60E-07
0.55,0.999821603,0.999812221,0.999802839,1.03282E-06,1.03279E-06,1.03275E-06
0.56,0.999811451,0.999801535,0.999791621,1.11145E-06,1.1114E-06,1.11136E-06
0.57,0.999800678,0.999790196,0.999779716,1.19593E-06,1.19588E-06,1.19583E-06
0.58,0.999789243,0.999778161,0.99976708,1.28673E-06,1.28666E-06,1.2866E-06
0.59,0.999777106,0.999765387,0.999753669,1.38429E-06,1.38422E-06,1.38415E-06
0.6,0.999764222,0.999751826,0.999739431,1.48913E-06,1.48905E-06,1.48897E-06
0.61,0.999750542,0.999737428,0.999724315,1.60178E-06,1.60169E-06,1.6016E-06
0.62,0.999736016,0.99972214,0.999708265,1.72284E-06,1.72273E-06,1.72262E-06
0.63,0.999720591,0.999705906,0.999691222,1.85292E-06,1.85279E-06,1.85267E-06
0.64,0.99970421,0.999688664,0.999673121,1.99269E-06,1.99255E-06,1.99241E-06
0.65,0.999686809,0.999670351,0.999653896,2.14288E-06,2.14272E-06,2.14255E-06
0.66,0.999668326,0.999650899,0.999633474,2.30426E-06,2.30407E-06,2.30387E-06
0.67,0.99964869,0.999630234,0.99961178,2.47766E-06,2.47743E-06,2.47721E-06
0.68,0.999627829,0.999608278,0.999588732,2.66396E-06,2.66371E-06,2.66345E-06
0.69,0.999605662,0.999584951,0.999564243,2.86414E-06,2.86384E-06,2.86354E-06
0.7,0.999582107,0.999560162,0.999538222,3.07921E-06,3.07887E-06,3.07852E-06
0.71,0.999557075,0.999533819,0.999510569,3.31028E-06,3.30988E-06,3.30949E-06
0.72,0.999530472,0.999505823,0.999481181,3.55853E-06,3.55807E-06,3.55762E-06
0.73,0.999502195,0.999476067,0.999449946,3.82524E-06,3.82471E-06,3.82418E-06
0.74,0.999472138,0.999444439,0.999416747,4.11176E-06,4.11115E-06,4.11054E-06
0.75,0.999440188,0.999410818,0.999381457,4.41957E-06,4.41887E-06,4.41816E-06
0.76,0.999406221,0.999375077,0.999343943,4.75023E-06,4.74942E-06,4.7486E-06
0.77,0.99937011,0.99933708,0.999304062,5.10542E-06,5.10448E-06,5.10354E-06
0.78,0.999331717,0.999296683,0.999261663,5.48696E-06,5.48587E-06,5.48479E-06
0.79,0.999290894,0.999253731,0.999216584,5.89677E-06,5.89552E-06,5.89427E-06
0.8,0.999247487,0.999208062,0.999168655,6.33695E-06,6.3355E-06,6.33406E-06
0.81,0.999201331,0.999159501,0.999117692,6.80971E-06,6.80804E-06,6.80637E-06
0.82,0.999152248,0.999107865,0.999063504,7.31743E-06,7.31551E-06,7.31359E-06
0.83,0.999100053,0.999052955,0.999005883,7.86269E-06,7.86047E-06,7.85826E-06
0.84,0.999044546,0.998994564,0.998944612,8.44822E-06,8.44566E-06,8.4431E-06
0.85,0.998985516,0.99893247,0.998879458,9.07696E-06,9.074E-06,9.07105E-06
0.86,0.998922739,0.998866437,0.998810175,9.75205E-06,9.74864E-06,9.74524E-06
0.87,0.998855976,0.998796216,0.9987365,1.04769E-05,1.04729E-05,1.0469E-05
0.88,0.998784973,0.99872154,0.998658157,1.1255E-05,1.12505E-05,1.12459E-05
0.89,0.998709463,0.998642127,0.99857485,1.20903E-05,1.20851E-05,1.20798E-05
0.9,0.99862916,0.99855768,0.998486266,1.29869E-05,1.29809E-05,1.29749E-05
0.91,0.998543762,0.998467881,0.998392075,1.39492E-05,1.39423E-05,1.39353E-05
0.92,0.998452947,0.998372393,0.998291925,1.4982E-05,1.4974E-05,1.4966E-05
0.93,0.998356376,0.998270862,0.998185445,1.60902E-05,1.6081E-05,1.60718E-05
0.94,0.99825369,0.998162909,0.99807224,1.72793E-05,1.72687E-05,1.7258E-05
0.95,0.998144506,0.998048137,0.997951894,1.85549E-05,1.85427E-05,1.85305E-05
0.96,0.998028421,0.997926122,0.997823967,1.99233E-05,1.99092E-05,1.98952E-05
0.97,0.997905008,0.997796419,0.997687993,2.1391E-05,2.13747E-05,2.13585E-05
0.98,0.997773816,0.997658555,0.99754348,2.29648E-05,2.29462E-05,2.29275E-05
0.99,0.997634369,0.997512034,0.997389911,2.46524E-05,2.46309E-05,2.46094E-05
1,0.997486163,0.99735633,0.997226737,2.64614E-05,2.64367E-05,2.6412E-05
1.01,0.997328668,0.997190889,0.997053383,2.84005E-05,2.8372E-05,2.83437E-05
1.02,0.997161324,0.997015128,0.996869242,3.04784E-05,3.04457E-05,3.04131E-05
1.03,0.996983544,0.996828434,0.996673677,3.27047E-05,3.26671E-05,3.26296E-05
1.04,0.996794707,0.996630162,0.996466017,3.50895E-05,3.50463E-05,3.50033E-05
1.05,0.996594163,0.996419635,0.996245561,3.76435E-05,3.75938E-05,3.75444E-05
1.06,0.996381228,0.996196142,0.996011571,4.03779E-05,4.03209E-05,4.02641E-05
1.07,0.996155187,0.99595894,0.995763276,4.33047E-05,4.32393E-05,4.31742E-05
1.08,0.995915288,0.99570725,0.995499872,4.64367E-05,4.63617E-05,4.6287E-05
1.09,0.995660749,0.99544026,0.995220517,4.97872E-05,4.97012E-05,4.96156E-05
1.1,0.995390751,0.99515712,0.994924335,5.33703E-05,5.32717E-05,5.31736E-05
1.11,0.995104438,0.994856949,0.994610415,5.72008E-05,5.70879E-05,5.69756E-05
1.12,0.994800924,0.994538828,0.994277812,6.12944E-05,6.11651E-05,6.10367E-05
1.13,0.994479284,0.994201806,0.993925545,6.56675E-05,6.55196E-05,6.53727E-05
1.14,0.994138562,0.993844895,0.993552601,7.03373E-05,7.01682E-05,7.00003E-05
1.15,0.993777768,0.993467077,0.993157934,7.53218E-05,7.51286E-05,7.49369E-05
1.16,0.993395878,0.993067303,0.992740469,8.06398E-05,8.04193E-05,8.02005E-05
1.17,0.992991839,0.99264449,0.9922991,8.6311E-05,8.60595E-05,8.581E-05
1.18,0.992564569,0.992197533,0.991832697,9.23559E-05,9.20691E-05,9.17849E-05
1.19,0.992112958,0.991725298,0.991340106,9.87956E-05,9.8469E-05,9.81455E-05
1.2,0.991635873,0.99122663,0.990820152,0.000105652,0.00010528,0.000104913
1.21,0.99113216,0.990700356,0.990271645,0.000112948,0.000112526,0.000112108
1.22,0.990600647,0.990145285,0.989693382,0.000120707,0.000120228,0.000119753
1.23,0.990040148,0.989560219,0.989084151,0.000128954,0.000128409,0.000127871
1.24,0.989449468,0.988943953,0.988442741,0.000137712,0.000137095,0.000136486
1.25,0.988827409,0.98829528,0.987767941,0.000147008,0.000146309,0.00014562
1.26,0.988172771,0.987613,0.98705855,0.000156866,0.000156076,0.000155297
1.27,0.987484366,0.986895923,0.986313384,0.000167314,0.000166422,0.000165543
1.28,0.986761013,0.986142877,0.985531278,0.000178378,0.000177371,0.000176381
1.29,0.986001556,0.985352715,0.9847111,0.000190084,0.00018895,0.000187835
1.3,0.985204861,0.984524319,0.983851752,0.00020246,0.000201184,0.000199931
1.31,0.984369832,0.983656614,0.98295218,0.000215532,0.000214098,0.000212692
1.32,0.983495409,0.982748567,0.982011382,0.000229327,0.000227719,0.000226143
1.33,0.982580583,0.9817992,0.981028414,0.000243872,0.000242071,0.000240307
1.34,0.9816244,0.980807597,0.980002397,0.000259193,0.000257178,0.000255208
1.35,0.980625967,0.979772906,0.978932526,0.000275315,0.000273066,0.000270868
1.36,0.979584462,0.978694353,0.977818074,0.000292265,0.000289757,0.000287309
1.37,0.978499138,0.977571244,0.976658399,0.000310065,0.000307274,0.000304552
1.38,0.97736933,0.97640297,0.975452953,0.00032874,0.000325639,0.000322618
1.39,0.976194462,0.975189016,0.97420128,0.000348313,0.000344873,0.000341526
1.4,0.97497405,0.973928964,0.972903025,0.000368803,0.000364995,0.000361293
1.41,0.973707707,0.972622493,0.971557938,0.000390233,0.000386023,0.000381936
1.42,0.972395148,0.971269391,0.970165872,0.00041262,0.000407975,0.000403471
1.43,0.971036192,0.969869547,0.968726791,0.000435982,0.000430865,0.000425911
1.44,0.969630762,0.968422961,0.967240764,0.000460334,0.000454709,0.00044927
1.45,0.968178888,0.966929737,0.965707981,0.000485691,0.000479519,0.000473556
1.46,0.966680721,0.9653901,0.964128703,0.000512065,0.000505305,0.000498782
1.47,0.965136477,0.963804345,0.962503331,0.000539467,0.000532076,0.000524953
1.48,0.963546517,0.962172903,0.960832358,0.000567907,0.000559841,0.000552077
1.49,0.961911289,0.960496298,0.959116373,0.000597391,0.000588605,0.000580158
1.5,0.960231341,0.958775146,0.95735606,0.000627926,0.000618373,0.000609199
1.51,0.958507314,0.957010158,0.955552193,0.000659515,0.000649147,0.000639202
1.52,0.956739938,0.955202128,0.953705626,0.000692161,0.000680928,0.000670166
1.53,0.95493003,0.953351935,0.951817295,0.000725864,0.000713715,0.000702091
1.54,0.953078482,0.95146053,0.949888205,0.000760623,0.000747508,0.000734973
1.55,0.951186262,0.949528934,0.947919424,0.000796435,0.000782302,0.000768809
1.56,0.949254401,0.947558229,0.945912081,0.000833296,0.000818092,0.000803592
1.57,0.947283991,0.945549552,0.943867355,0.000871201,0.000854872,0.000839317
1.58,0.945276178,0.94350409,0.941786468,0.000910144,0.000892635,0.000875975
1.59,0.943232152,0.941423072,0.939670682,0.000950115,0.000931373,0.000913558
1.6,0.941153143,0.939307759,0.937521288,0.000991105,0.000971076,0.000952057
1.61,0.939040414,0.937159445,0.935339603,0.001033105,0.001011733,0.000991459
1.62,0.936895255,0.934979442,0.933126961,0.001076102,0.001053333,0.001031755
1.63,0.934718977,0.932769082,0.93088471,0.001120085,0.001095864,0.001072933
1.64,0.932512902,0.930529706,0.928614205,0.00116504,0.001139313,0.001114978
1.65,0.930278366,0.92826266,0.926316802,0.001210955,0.001183666,0.001157879
1.66,0.928016706,0.925969291,0.923993856,0.001257813,0.00122891,0.001201621
1.67,0.925729258,0.923650943,0.921646713,0.001305601,0.001275029,0.00124619
1.68,0.923417352,0.921308949,0.919276708,0.001354304,0.00132201,0.001291573
1.69,0.92108231,0.918944631,0.916885162,0.001403904,0.001369836,0.001337753
1.7,0.918725439,0.916559295,0.914473378,0.001454387,0.001418492,0.001384717
1.71,0.916348032,0.914154228,0.912042636,0.001505735,0.001467963,0.001432448
1.72,0.913951358,0.911730695,0.909594195,0.001557933,0.001518232,0.001480933
1.73,0.911536667,0.909289937,0.907129287,0.001610964,0.001569284,0.001530156
1.74,0.909105184,0.906833169,0.904649115,0.00166481,0.001621103,0.0015801
1.75,0.906658107,0.904361578,0.902154856,0.001719456,0.001673672,0.001630752
1.76,0.904196604,0.901876321,0.899647652,0.001774884,0.001726977,0.001682096
1.77,0.901721817,0.899378523,0.897128617,0.001831078,0.001781,0.001734118
1.78,0.899234853,0.89686928,0.894598831,0.001888021,0.001835727,0.001786801
1.79,0.896736791,0.894349654,0.89205934,0.001945696,0.001891141,0.001840131
1.8,0.894228674,0.891820674,0.889511159,0.002004088,0.001947228,0.001894094
1.81,0.891711517,0.889283336,0.886955267,0.002063181,0.002003972,0.001948676
1.82,0.889186296,0.886738602,0.884392609,0.002122957,0.002061357,0.002003861
1.83,0.886653959,0.884187401,0.881824099,0.002183403,0.002119371,0.002059637
1.84,0.884115417,0.881630628,0.879250614,0.002244501,0.002177996,0.002115989
1.85,0.881571551,0.879069146,0.876673,0.002306238,0.002237221,0.002172904
1.86,0.879023206,0.876503784,0.874092071,0.002368598,0.00229703,0.002230369
1.87,0.876471198,0.873935339,0.871508606,0.002431567,0.002357409,0.002288371
1.88,0.873916309,0.871364576,0.868923354,0.00249513,0.002418346,0.002346896
1.89,0.871359289,0.86879223,0.866337033,0.002559273,0.002479827,0.002405933
1.9,0.868800858,0.866219003,0.863750331,0.002623983,0.002541839,0.00246547
1.91,0.866241708,0.86364557,0.861163904,0.002689246,0.00260437,0.002525495
1.92,0.863682497,0.861072574,0.858578382,0.002755048,0.002667407,0.002585995
1.93,0.861123859,0.858500632,0.855994366,0.002821378,0.002730938,0.002646961
1.94,0.858566397,0.855930331,0.853412428,0.002888223,0.002794952,0.00270838
1.95,0.856010687,0.853362234,0.850833116,0.00295557,0.002859436,0.002770242
1.96,0.853457281,0.850796875,0.848256951,0.003023408,0.002924381,0.002832537
1.97,0.850906702,0.848234765,0.84568443,0.003091724,0.002989775,0.002895254
1.98,0.848359451,0.845676389,0.843116023,0.003160508,0.003055607,0.002958384
1.99,0.845816004,0.84312221,0.840552182,0.003229749,0.003121868,0.003021916
2,0.843276814,0.840572668,0.837993332,0.003299436,0.003188547,0.003085841
2.01,0.840742311,0.838028179,0.835439879,0.003369557,0.003255634,0.003150151
2.02,0.838212904,0.835489141,0.832892207,0.003440105,0.003323119,0.003214836
2.03,0.835688981,0.832955928,0.830350681,0.003511067,0.003390995,0.003279887
2.04,0.833170912,0.830428898,0.827815645,0.003582435,0.00345925,0.003345296
2.05,0.830659044,0.827908388,0.825287427,0.0036542,0.003527878,0.003411055
2.06,0.828153708,0.825394718,0.822766336,0.003726351,0.003596869,0.003477156
2.07,0.825655217,0.822888189,0.820252662,0.003798881,0.003666214,0.00354359
2.08,0.823163867,0.820389086,0.817746682,0.003871781,0.003735907,0.003610351
2.09,0.820679936,0.81789768,0.815248655,0.003945041,0.003805938,0.003677432
2.1,0.818203689,0.815414222,0.812758825,0.004018655,0.003876301,0.003744823
2.11,0.815735373,0.812938953,0.810277424,0.004092614,0.003946988,0.00381252
2.12,0.813275222,0.810472097,0.807804667,0.004166911,0.004017992,0.003880515
2.13,0.810823457,0.808013866,0.805340757,0.004241537,0.004089305,0.003948802
2.14,0.808380283,0.805564457,0.802885884,0.004316486,0.004160921,0.004017373
2.15,0.805945896,0.803124057,0.800440228,0.004391751,0.004232833,0.004086224
2.16,0.803520476,0.80069284,0.798003953,0.004467324,0.004305035,0.004155347
2.17,0.801104194,0.798270967,0.795577217,0.004543199,0.00437752,0.004224738
2.18,0.798697209,0.795858591,0.793160163,0.004619369,0.004450283,0.004294389
2.19,0.796299669,0.793455854,0.790752926,0.004695829,0.004523317,0.004364296
2.2,0.793911712,0.791062885,0.788355632,0.004772571,0.004596617,0.004434453
2.21,0.791533466,0.788679808,0.785968395,0.00484959,0.004670176,0.004504856
2.22,0.789165051,0.786306734,0.783591324,0.00492688,0.004743991,0.004575498
2.23,0.786806576,0.783943768,0.781224515,0.005004435,0.004818054,0.004646375
2.24,0.784458143,0.781591006,0.77886806,0.00508225,0.004892361,0.004717481
2.25,0.782119846,0.779248536,0.776522041,0.005160319,0.004966908,0.004788813
2.26,0.77979177,0.776916437,0.774186533,0.005238638,0.005041689,0.004860366
2.27,0.777473994,0.774594783,0.771861604,0.0053172,0.005116698,0.004932135
2.28,0.775166589,0.77228364,0.769547317,0.005396002,0.005191933,0.005004115
2.29,0.772869619,0.769983068,0.767243726,0.005475038,0.005267388,0.005076304
2.3,0.770583143,0.76769312,0.76495088,0.005554303,0.005343058,0.005148695
2.31,0.768307212,0.765413845,0.762668822,0.005633793,0.00541894,0.005221286
2.32,0.766041873,0.763145283,0.760397591,0.005713504,0.005495029,0.005294072
2.33,0.763787166,0.760887471,0.758137219,0.005793431,0.005571322,0.00536705
2.34,0.761543127,0.75864044,0.755887733,0.005873569,0.005647814,0.005440216
2.35,0.759309785,0.756404218,0.753649156,0.005953916,0.005724501,0.005513567
2.36,0.757087168,0.754178824,0.751421507,0.006034466,0.00580138,0.005587098
2.37,0.754875294,0.751964278,0.749204799,0.006115216,0.005878447,0.005660806
2.38,0.752674181,0.749760592,0.746999043,0.006196163,0.005955698,0.005734688
2.39,0.750483841,0.747567774,0.744804243,0.006277301,0.00603313,0.005808742
2.4,0.748304283,0.745385831,0.742620403,0.006358629,0.00611074,0.005882962
2.41,0.746135512,0.743214764,0.740447521,0.006440141,0.006188524,0.005957347
2.42,0.743977528,0.741054571,0.738285592,0.006521836,0.006266479,0.006031894
2.43,0.741830329,0.738905246,0.736134609,0.006603708,0.006344603,0.006106599
2.44,0.73969391,0.736766782,0.73399456,0.006685756,0.006422891,0.00618146
2.45,0.737568262,0.734639168,0.731865433,0.006767976,0.00650134,0.006256473
2.46,0.735453374,0.732522389,0.729747211,0.006850365,0.006579949,0.006331637
2.47,0.733349232,0.73041643,0.727639874,0.00693292,0.006658714,0.006406948
2.48,0.731255819,0.728321269,0.725543401,0.007015638,0.006737633,0.006482403
2.49,0.729173116,0.726236887,0.723457769,0.007098515,0.006816702,0.006558001
2.5,0.727101101,0.72416326,0.721382952,0.00718155,0.006895919,0.006633739
2.51,0.725039751,0.722100361,0.719318922,0.007264739,0.006975281,0.006709614
